- 0x0805b008 Free 92872 was never alloc'd 0xb7df9fc1

Memory not freed:
-----------------
   Address     Size     Caller
0x0806fc20     0x24  at 0xb7b4ba19
0x0806fc48      0x7  at 0xb7b4b4c4
0x0806fc58     0x14  at 0xb7b4b4c4
0x0806fc70     0x24  at 0xb7b4ba19
0x0806fc98      0x5  at 0xb7b4b4c4
0x0806fca8     0x24  at 0xb7b4ba19
0x0806fcd0      0x5  at 0xb7b4b4c4
0x0806fce0     0x12  at 0xb7b4b4c4
0x0806fcf8     0x24  at 0xb7b4ba19
0x0806fd20      0x7  at 0xb7b4b4c4
0x0806fd30     0x14  at 0xb7b4b4c4
0x0806fd48     0x24  at 0xb7b4ba19
0x0806fd70      0xb  at 0xb7b4b4c4
0x0806fd80     0x24  at 0xb7b4ba19
0x0806fda8      0x5  at 0xb7b4b4c4
0x0806fdb8     0x12  at 0xb7b4b4c4
0x0806fdd0     0x24  at 0xb7b4ba19
0x0806fdf8      0x7  at 0xb7b4b4c4
0x0806fe08     0x14  at 0xb7b4b4c4
0x0806fe20     0x24  at 0xb7b4ba19
0x0806fe48      0x5  at 0xb7b4b4c4
0x0806fe58     0x24  at 0xb7b4ba19
0x0806fe80      0x5  at 0xb7b4b4c4
0x0806fe90     0x12  at 0xb7b4b4c4
0x0806fea8     0x24  at 0xb7b4ba19
0x0806fed0      0x7  at 0xb7b4b4c4
0x0806fee0     0x14  at 0xb7b4b4c4
0x0806fef8     0x24  at 0xb7b4ba19
0x0806ff20      0xb  at 0xb7b4b4c4
0x0806ff30     0x24  at 0xb7b4ba19
0x0806ff58      0x5  at 0xb7b4b4c4
0x0806ff68     0x12  at 0xb7b4b4c4
0x0806ff80     0x24  at 0xb7b4ba19
0x0806ffa8      0x7  at 0xb7b4b4c4
0x0806ffb8     0x14  at 0xb7b4b4c4
0x0806ffd0     0x24  at 0xb7b4ba19
0x0806fff8      0xb  at 0xb7b4b4c4
0x08070008     0x24  at 0xb7b4ba19
0x08070030      0x5  at 0xb7b4b4c4
0x08070040     0x12  at 0xb7b4b4c4
0x08070058     0x24  at 0xb7b4ba19
0x08070080      0x7  at 0xb7b4b4c4
0x08070090     0x14  at 0xb7b4b4c4
0x080700a8     0x24  at 0xb7b4ba19
0x080700d0      0xb  at 0xb7b4b4c4
0x080700e0     0x24  at 0xb7b4ba19
0x08070108      0x5  at 0xb7b4b4c4
0x08070118     0x12  at 0xb7b4b4c4
0x08070130     0x24  at 0xb7b4ba19
0x08070158      0x7  at 0xb7b4b4c4
0x08070168     0x14  at 0xb7b4b4c4
0x08070180     0x24  at 0xb7b4ba19
0x080701a8      0xb  at 0xb7b4b4c4
0x080701b8     0x24  at 0xb7b4ba19
0x080701e0      0x5  at 0xb7b4b4c4
0x080701f0     0x12  at 0xb7b4b4c4
0x08070208     0x24  at 0xb7b4ba19
0x08070230      0x7  at 0xb7b4b4c4
0x08070240     0x14  at 0xb7b4b4c4
0x08070258     0x24  at 0xb7b4ba19
0x08070280      0xb  at 0xb7b4b4c4
0x08070290     0x24  at 0xb7b4ba19
0x080702b8      0x5  at 0xb7b4b4c4
0x080702c8     0x12  at 0xb7b4b4c4
0x080702e0     0x24  at 0xb7b4ba19
0x08070308      0x7  at 0xb7b4b4c4
0x08070318     0x14  at 0xb7b4b4c4
0x08070330     0x24  at 0xb7b4ba19
0x08070358      0x7  at 0xb7b4b4c4
0x08070368     0x24  at 0xb7b4ba19
0x08070390      0x5  at 0xb7b4b4c4
0x080703a0     0x12  at 0xb7b4b4c4
0x080703b8     0x24  at 0xb7b4ba19
